firm_name,firm_website,challenge_name,markets,account_size,price,billing_type,currency,profit_target_pct,max_drawdown_pct,daily_drawdown_pct,drawdown_type,minimum_days,maximum_days,payout_frequency_days,payout_split_pct,payout_conditions,platforms,activation_fee,max_payout,contracts,data_feed,source_url,source_type,confidence
Crypto Fund Trader,,2-Step 5K,cfd,5000,45.24,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Crypto Fund Trader,,1-Step 5K,cfd,5000,31.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Crypto Fund Trader,,2-Step 10K,cfd,10000,85.8,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Crypto Fund Trader,,2-Step 25K,cfd,25000,187.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Crypto Fund Trader,,1-Step 25K,cfd,25000,170.82,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Crypto Fund Trader,,2-Step 50K,cfd,50000,303.42,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Crypto Fund Trader,,2-Step 100K,cfd,100000,514.8,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Crypto Fund Trader,,1-Step 100K,cfd,100000,482.82,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Crypto Fund Trader,,2-Step 200K,cfd,200000,975,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Crypto Fund Trader,,1-Step 200K,cfd,200000,935.22,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
DayTraders,https://daytraders.com/,EOD 25K,futures,25000,46.35,one_time,USD,6,6,,eod_trailing,2,,8,100,"Two qualifying days. Sizes run to 300K. Price varies. The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days. The firm advertises 100% profit retention with no split. Fees are quoted as one-time or monthly depending on the plan chosen.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,6/60,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,Trail 50K,futures,50000,70.35,one_time,USD,6,4,,intraday_trailing,2,,8,100,"Two qualifying days. Price varies. The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,10/100,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,EOD 50K,futures,50000,,one_time,USD,6,4,2.5,eod_trailing,2,,8,100,"Two qualifying days. Sizes run to 300K. Price varies. The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days. The firm advertises 100% profit retention with no split. Fees are quoted as one-time or monthly depending on the plan chosen.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,Static 50K,futures,50000,40,one_time,USD,7.5,2,,static,2,,8,100,"Fixed drawdown rather than trailing. Two qualifying days. Price varies. The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,6/60,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,S2F 50K,futures,50000,342,one_time,USD,,5,,eod_trailing,,,8,100,"No traditional evaluation. Funded progression rules apply. Price varies. The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,10/100,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,S2L 50K,futures,50000,,,USD,,,,,,,,100,"Direct funded progression with rules separate from S2F. Price varies. The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Figures deliberately absent: the source said not to rely on them for this product.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,Trail 80% Split 50K,futures,50000,179,one_time,USD,6,4,,intraday_trailing,,,8,80,"The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,2/20,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,Static 100K,futures,100000,65,one_time,USD,5.75,1.5,,static,2,,8,100,"Fixed drawdown rather than trailing. Two qualifying days. Price varies. The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,8/80,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,Trail 150K,futures,150000,104.85,one_time,USD,5.667,3,,intraday_trailing,2,,8,100,"Two qualifying days. Price varies. The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,24/240,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,EOD 150K,futures,150000,825,one_time,USD,5.667,2.667,1.333,eod_trailing,2,,8,100,"Two qualifying days. Sizes run to 300K. Price varies. The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days. The firm advertises 100% profit retention with no split. Fees are quoted as one-time or monthly depending on the plan chosen.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,Trail 80% Split 150K,futures,150000,319,one_time,USD,5.667,3,,intraday_trailing,,,8,80,"The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,3/30,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,Trail 300K,futures,300000,131.85,one_time,USD,5,2.333,,intraday_trailing,2,,8,100,"Two qualifying days. Price varies. The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,40/400,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,EOD 300K,futures,300000,,one_time,USD,,,,eod_trailing,2,,8,100,"Two qualifying days. Sizes run to 300K. Price varies. The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days. The firm advertises 100% profit retention with no split. Fees are quoted as one-time or monthly depending on the plan chosen.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,,"Rithmic, Tradovate, WealthCharts",,,
DayTraders,https://daytraders.com/,Trail 80% Split 300K,futures,300000,449,one_time,USD,5,2.333,,intraday_trailing,,,8,80,"The supplied platform list for this firm ends in 'etc.', so the platforms on file are the ones named rather than the complete set — treat an absence here as unrecorded, not unsupported. Payouts every 8 days.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader Pro; Sierra Chart; ATAS; Bookmap; MotiveWave; Jigsaw,,,4/40,"Rithmic, Tradovate, WealthCharts",,,
E8 Futures,https://e8futures.com/,Challenge 25K,futures,25000,88,one_time,USD,6,4,,eod_trailing,,,5,80,Payouts every 5 days.,TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,E8 Zero Starter 50K,futures,50000,178,one_time,USD,6,,,static,,,,,"One phase. End-of-day drawdown, not trailing, and no daily drawdown. The 40% rule is a best-day rule during the challenge. Prices are the regular list price. NEEDS REVIEW: research describes E8's futures line as Signature-only, with E8 Zero sold for forex and crypto rather than futures. This product came from the supplied table and has been kept rather than deleted, but confirm it exists as a futures account before publishing.",TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,E8 Zero Max 50K,futures,50000,328,one_time,USD,6,,,static,,,,,"One phase, higher Max configuration. End-of-day drawdown. Prices are the regular list price. NEEDS REVIEW: research describes E8's futures line as Signature-only, with E8 Zero sold for forex and crypto rather than futures. Confirm before publishing.",TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,E8 Signature 50K,futures,50000,,one_time,USD,6,,,eod_trailing,,,,80,"One phase, with a rule structure separate from Zero. Prices vary by size. Published as a range rather than one figure: $115.70–$213.20 at 50K, $180.70–$382.20 at 100K, $362.70–$707.20 at 200K, and $88 at 25K (a size not on file). Not recorded as a price. The drawdown is an end-of-day dynamic floor: it moves only at market close, follows the highest end-of-day balance, and locks permanently once it reaches the starting balance. The 35% consistency rule applies to funded accounts.",TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,Challenge 50K,futures,50000,120,one_time,USD,6,4,,eod_trailing,,,5,80,Payouts every 5 days.,TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,Challenge Daily 50K,futures,50000,115.7,one_time,USD,6,3,,trailing,,,1,80,Payouts every 1 day.,TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,E8 Zero Starter 100K,futures,100000,278,one_time,USD,6,,,static,,,,,"One phase. End-of-day drawdown, not trailing, and no daily drawdown. The 40% rule is a best-day rule during the challenge. Prices are the regular list price. NEEDS REVIEW: research describes E8's futures line as Signature-only, with E8 Zero sold for forex and crypto rather than futures. This product came from the supplied table and has been kept rather than deleted, but confirm it exists as a futures account before publishing.",TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,E8 Zero Max 100K,futures,100000,588,one_time,USD,6,,,static,,,,,"One phase, higher Max configuration. End-of-day drawdown. Prices are the regular list price. NEEDS REVIEW: research describes E8's futures line as Signature-only, with E8 Zero sold for forex and crypto rather than futures. Confirm before publishing.",TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,E8 Signature 100K,futures,100000,,one_time,USD,6,,,eod_trailing,,,,80,"One phase, with a rule structure separate from Zero. Prices vary by size. Published as a range rather than one figure: $115.70–$213.20 at 50K, $180.70–$382.20 at 100K, $362.70–$707.20 at 200K, and $88 at 25K (a size not on file). Not recorded as a price. The drawdown is an end-of-day dynamic floor: it moves only at market close, follows the highest end-of-day balance, and locks permanently once it reaches the starting balance. The 35% consistency rule applies to funded accounts.",TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,Challenge 100K,futures,100000,208,one_time,USD,6,4,,eod_trailing,,,5,80,Payouts every 5 days.,TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,Challenge Daily 100K,futures,100000,180.7,one_time,USD,6.5,3,,trailing,,,1,80,Payouts every 1 day.,TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,E8 Signature 150K,futures,150000,312,one_time,USD,6,,,eod_trailing,,,,80,"One phase, with a rule structure separate from Zero. Prices vary by size. Published as a range rather than one figure: $115.70–$213.20 at 50K, $180.70–$382.20 at 100K, $362.70–$707.20 at 200K, and $88 at 25K (a size not on file). Not recorded as a price. The drawdown is an end-of-day dynamic floor: it moves only at market close, follows the highest end-of-day balance, and locks permanently once it reaches the starting balance. The 35% consistency rule applies to funded accounts.",TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,Challenge 150K,futures,150000,312,one_time,USD,6,4,,eod_trailing,,,5,80,Payouts every 5 days.,TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,E8 Zero Starter 200K,futures,200000,558,one_time,USD,6,,,static,,,,,"One phase. End-of-day drawdown, not trailing, and no daily drawdown. The 40% rule is a best-day rule during the challenge. Prices are the regular list price. NEEDS REVIEW: research describes E8's futures line as Signature-only, with E8 Zero sold for forex and crypto rather than futures. This product came from the supplied table and has been kept rather than deleted, but confirm it exists as a futures account before publishing.",TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,E8 Zero Max 200K,futures,200000,1088,one_time,USD,6,,,static,,,,,"One phase, higher Max configuration. End-of-day drawdown. Prices are the regular list price. NEEDS REVIEW: research describes E8's futures line as Signature-only, with E8 Zero sold for forex and crypto rather than futures. Confirm before publishing.",TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,E8 Signature 200K,futures,200000,,one_time,USD,6,,,eod_trailing,,,,80,"One phase, with a rule structure separate from Zero. Prices vary by size. Published as a range rather than one figure: $115.70–$213.20 at 50K, $180.70–$382.20 at 100K, $362.70–$707.20 at 200K, and $88 at 25K (a size not on file). Not recorded as a price. The drawdown is an end-of-day dynamic floor: it moves only at market close, follows the highest end-of-day balance, and locks permanently once it reaches the starting balance. The 35% consistency rule applies to funded accounts.",TradingView; Tradovate,,,,NinjaTrader,,,
E8 Futures,https://e8futures.com/,Challenge Static 200K,futures,200000,362.7,one_time,USD,6.75,3,,static,,,1,80,Payouts every 1 day.,TradingView; Tradovate,,,,NinjaTrader,,,
E8 Markets,,1-Step Trailing 5K,cfd,5000,43.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
E8 Markets,,1-Step Static 10K,cfd,10000,61.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
E8 Markets,,1-Step Static 25K,cfd,25000,133.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
E8 Markets,,1-Step Static 50K,cfd,50000,205.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
E8 Markets,,1-Step Static 100K,cfd,100000,439.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
E8 Markets,,1-Step Trailing 200K,cfd,200000,718.2,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
Earn2Trade,https://www.earn2trade.com/,Trader Career Path 25K,futures,25000,90,monthly,USD,,,,trailing,,,7,80,"Daily loss limit and a position-size progression ladder, with approved trading hours. Buying-power level depends on the selected plan. No formal minimum trading days, but 30% consistency generally needs at least 4 profitable days. Price varies by account. Payouts every 7 days. A daily loss limit applies but the figure is not recorded — do not read the blank as 'no daily rule'.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader; R Trader Pro; Sierra Chart; ATAS; Bookmap; Finamark; Jigsaw; MotiveWave; MultiCharts; OverCharts; Photon; QScalp; QSI; Scalp Tool; Trade Navigator; Investor/RT; Inside Edge Trader,,,,"Dorman, EdgeClear, Lunaro Markets, NinjaTrader, Phillip Capital",,,
Earn2Trade,https://www.earn2trade.com/,Gauntlet Mini 25K,futures,25000,,monthly,USD,,,,eod_trailing,,,7,80,"Same core risk framework as Trader Career Path: daily loss limit, position-size progression, trading-hour restrictions. Price varies by selected account. Published as a range rather than one figure: $85–$95. Not recorded as a price. Payouts every 7 days. A daily loss limit applies but the figure is not recorded — do not read the blank as 'no daily rule'.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader; R Trader Pro; Sierra Chart; ATAS; Bookmap; Finamark; Jigsaw; MotiveWave; MultiCharts; OverCharts; Photon; QScalp; QSI; Scalp Tool; Trade Navigator; Investor/RT; Inside Edge Trader,,,,"Dorman, EdgeClear, Lunaro Markets, NinjaTrader, Phillip Capital",,,
Earn2Trade,https://www.earn2trade.com/,Trader Career Path 50K,futures,50000,114,monthly,USD,,,,trailing,,,7,80,"Daily loss limit and a position-size progression ladder, with approved trading hours. Buying-power level depends on the selected plan. No formal minimum trading days, but 30% consistency generally needs at least 4 profitable days. Price varies by account. Payouts every 7 days. A daily loss limit applies but the figure is not recorded — do not read the blank as 'no daily rule'.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader; R Trader Pro; Sierra Chart; ATAS; Bookmap; Finamark; Jigsaw; MotiveWave; MultiCharts; OverCharts; Photon; QScalp; QSI; Scalp Tool; Trade Navigator; Investor/RT; Inside Edge Trader,,,,"Dorman, EdgeClear, Lunaro Markets, NinjaTrader, Phillip Capital",,,
Earn2Trade,https://www.earn2trade.com/,Gauntlet Mini 50K,futures,50000,102,monthly,USD,6,,2.2,eod_trailing,,,7,80,"Same core risk framework as Trader Career Path: daily loss limit, position-size progression, trading-hour restrictions. Price varies by selected account. Published as a range rather than one figure: $85–$95. Not recorded as a price. Payouts every 7 days. A daily loss limit applies but the figure is not recorded — do not read the blank as 'no daily rule'.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader; R Trader Pro; Sierra Chart; ATAS; Bookmap; Finamark; Jigsaw; MotiveWave; MultiCharts; OverCharts; Photon; QScalp; QSI; Scalp Tool; Trade Navigator; Investor/RT; Inside Edge Trader,,,,"Dorman, EdgeClear, Lunaro Markets, NinjaTrader, Phillip Capital",,,
Earn2Trade,https://www.earn2trade.com/,Trader Career Path 100K,futures,100000,210,monthly,USD,6,3.5,,trailing,,,7,80,"Daily loss limit and a position-size progression ladder, with approved trading hours. Buying-power level depends on the selected plan. No formal minimum trading days, but 30% consistency generally needs at least 4 profitable days. Price varies by account. Payouts every 7 days. A daily loss limit applies but the figure is not recorded — do not read the blank as 'no daily rule'.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader; R Trader Pro; Sierra Chart; ATAS; Bookmap; Finamark; Jigsaw; MotiveWave; MultiCharts; OverCharts; Photon; QScalp; QSI; Scalp Tool; Trade Navigator; Investor/RT; Inside Edge Trader,,,12/120,"Dorman, EdgeClear, Lunaro Markets, NinjaTrader, Phillip Capital",,,
Earn2Trade,https://www.earn2trade.com/,Gauntlet Mini 100K,futures,100000,189,monthly,USD,,,,eod_trailing,,,7,80,"Same core risk framework as Trader Career Path: daily loss limit, position-size progression, trading-hour restrictions. Price varies by selected account. Published as a range rather than one figure: $85–$95. Not recorded as a price. Payouts every 7 days. A daily loss limit applies but the figure is not recorded — do not read the blank as 'no daily rule'.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader; R Trader Pro; Sierra Chart; ATAS; Bookmap; Finamark; Jigsaw; MotiveWave; MultiCharts; OverCharts; Photon; QScalp; QSI; Scalp Tool; Trade Navigator; Investor/RT; Inside Edge Trader,,,,"Dorman, EdgeClear, Lunaro Markets, NinjaTrader, Phillip Capital",,,
Earn2Trade,https://www.earn2trade.com/,Trader Career Path 150K,futures,150000,,monthly,USD,,,,trailing,,,7,80,"Daily loss limit and a position-size progression ladder, with approved trading hours. Buying-power level depends on the selected plan. No formal minimum trading days, but 30% consistency generally needs at least 4 profitable days. Price varies by account. Payouts every 7 days. A daily loss limit applies but the figure is not recorded — do not read the blank as 'no daily rule'.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader; R Trader Pro; Sierra Chart; ATAS; Bookmap; Finamark; Jigsaw; MotiveWave; MultiCharts; OverCharts; Photon; QScalp; QSI; Scalp Tool; Trade Navigator; Investor/RT; Inside Edge Trader,,,,"Dorman, EdgeClear, Lunaro Markets, NinjaTrader, Phillip Capital",,,
Earn2Trade,https://www.earn2trade.com/,Gauntlet Mini 150K,futures,150000,225,monthly,USD,,,,eod_trailing,,,7,80,"Same core risk framework as Trader Career Path: daily loss limit, position-size progression, trading-hour restrictions. Price varies by selected account. Published as a range rather than one figure: $85–$95. Not recorded as a price. Payouts every 7 days. A daily loss limit applies but the figure is not recorded — do not read the blank as 'no daily rule'.",NinjaTrader; TradingView; Tradovate; Quantower; Rithmic; R Trader; R Trader Pro; Sierra Chart; ATAS; Bookmap; Finamark; Jigsaw; MotiveWave; MultiCharts; OverCharts; Photon; QScalp; QSI; Scalp Tool; Trade Navigator; Investor/RT; Inside Edge Trader,,,,"Dorman, EdgeClear, Lunaro Markets, NinjaTrader, Phillip Capital",,,
Funded Futures Family,https://www.fundedfuturesfamily.com/,Velocity 25K,futures,25000,15.8,monthly,USD,6,4,,intraday_trailing,3,,,90,"Monthly account. Standard payout needs 3 winning days; the Daily Payout add-on removes both that and the consistency rule. Profit split up to 90%. A $25 monthly promotional price and a $142.80 monthly standard price are both published for $50K; a promotional price is not the price, so neither replaces what is on file.",NinjaTrader; TradingView; Tradovate; WealthCharts,,,,"NinjaTrader, WealthCharts",,,
Funded Futures Family,https://www.fundedfuturesfamily.com/,Premier Plus 25K,futures,25000,68.4,monthly,USD,6,4,,intraday_trailing,,,,,,NinjaTrader; TradingView; Tradovate; WealthCharts,,,,"NinjaTrader, WealthCharts",,,
Funded Futures Family,https://www.fundedfuturesfamily.com/,Velocity 50K,futures,50000,25,monthly,USD,6,4,,intraday_trailing,3,,,90,"Monthly account. Standard payout needs 3 winning days; the Daily Payout add-on removes both that and the consistency rule. Profit split up to 90%. A $25 monthly promotional price and a $142.80 monthly standard price are both published for $50K; a promotional price is not the price, so neither replaces what is on file.",NinjaTrader; TradingView; Tradovate; WealthCharts,,,,"NinjaTrader, WealthCharts",,,
Funded Futures Family,https://www.fundedfuturesfamily.com/,S2F 50K,futures,50000,469,one_time,USD,,,,,,,,,Direct funded route with no evaluation. Priced as a one-time payment.,NinjaTrader; TradingView; Tradovate; WealthCharts,,,,"NinjaTrader, WealthCharts",,,
Funded Futures Family,https://www.fundedfuturesfamily.com/,Premier Plus 50K,futures,50000,92.4,monthly,USD,6,4,,intraday_trailing,,,,,,NinjaTrader; TradingView; Tradovate; WealthCharts,,,,"NinjaTrader, WealthCharts",,,
Funded Futures Family,https://www.fundedfuturesfamily.com/,Velocity 100K,futures,100000,45,monthly,USD,7,3.25,,intraday_trailing,3,,,90,"Monthly account. Standard payout needs 3 winning days; the Daily Payout add-on removes both that and the consistency rule. Profit split up to 90%. A $25 monthly promotional price and a $142.80 monthly standard price are both published for $50K; a promotional price is not the price, so neither replaces what is on file.",NinjaTrader; TradingView; Tradovate; WealthCharts,,,,"NinjaTrader, WealthCharts",,,
Funded Futures Family,https://www.fundedfuturesfamily.com/,S2F 100K,futures,100000,629,one_time,USD,,,,,,,,,Direct funded route with no evaluation. Priced as a one-time payment.,NinjaTrader; TradingView; Tradovate; WealthCharts,,,,"NinjaTrader, WealthCharts",,,
Funded Futures Family,https://www.fundedfuturesfamily.com/,Premier Plus 100K,futures,100000,137.4,monthly,USD,7,3.25,,intraday_trailing,,,,,,NinjaTrader; TradingView; Tradovate; WealthCharts,,,,"NinjaTrader, WealthCharts",,,
Funded Futures Family,https://www.fundedfuturesfamily.com/,Velocity 150K,futures,150000,65,monthly,USD,6.667,3.167,,intraday_trailing,3,,,90,"Monthly account. Standard payout needs 3 winning days; the Daily Payout add-on removes both that and the consistency rule. Profit split up to 90%. A $25 monthly promotional price and a $142.80 monthly standard price are both published for $50K; a promotional price is not the price, so neither replaces what is on file.",NinjaTrader; TradingView; Tradovate; WealthCharts,,,,"NinjaTrader, WealthCharts",,,
Funded Futures Family,https://www.fundedfuturesfamily.com/,Premier Plus 150K,futures,150000,191.4,monthly,USD,6.667,3.167,,intraday_trailing,,,,,,NinjaTrader; TradingView; Tradovate; WealthCharts,,,,"NinjaTrader, WealthCharts",,,
FundedElite,,1-Step 5K,cfd,5000,29.4,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
FundedElite,,2-Step 5K,cfd,5000,23.4,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
FundedElite,,2-Step 15K,cfd,15000,35.4,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
FundedElite,,2-Step 25K,cfd,25000,53.4,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
FundedElite,,Instant 25K,cfd,25000,114,one_time,USD,,,,,,,,,"Price only. This firm entered the catalogue through a supplied price table; its profit target, drawdown, daily loss limit, profit split and trading rules are NOT on file and are shown as unconfirmed rather than guessed.",,,,,,,,
